id,model,created_ts,finished_ts,quality_pass,lead_time_sec,defects.ST02,defects.ST14,defects.ST04,defects.ST27,defects.ST42,defects.ST18,defects.ST45
48,Sedan,1408,5284,True,3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Truck,1449,5355,True,3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,SUV,1487,5428,True,3941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,SUV,1524,5512,False,3988,0.09997633456913206,0.2143557228808124,0.0,0.0,0.0,0.0,0.0
52,Truck,1575,5575,False,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,SUV,1619,5640,True,4021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,SUV,1664,5702,False,4038,0.0,0.0,0.056786413814474426,0.2281009527576147,0.0,0.0,0.0
55,Truck,1702,5770,True,4068,0.0,0.0,0.0,0.0,0.2502152389144646,0.0,0.0
56,Sedan,1730,5853,False,4123,0.0,0.0,0.0,0.0,0.0,0.29321688379010374,0.3179893548725663
57,Truck,1775,5911,True,4136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
