ts,station_id,event_type,details
0,0,start,"{'car_id': 0, 'proc_time': 50}"
20,0,finish,"{'car_id': 0, 'to': 1}"
20,0,start,"{'car_id': 1, 'proc_time': 45}"
21,1,start,"{'car_id': 0, 'proc_time': 76}"
39,0,finish,"{'car_id': 1, 'to': 1}"
39,0,start,"{'car_id': 2, 'proc_time': 74}"
59,1,finish,"{'car_id': 0, 'to': 2}"
59,1,start,"{'car_id': 1, 'proc_time': 62}"
60,2,start,"{'car_id': 0, 'proc_time': 87}"
65,0,finish,"{'car_id': 2, 'to': 1}"
65,0,start,"{'car_id': 3, 'proc_time': 46}"
84,0,finish,"{'car_id': 3, 'to': 1}"
84,0,start,"{'car_id': 4, 'proc_time': 47}"
85,15,breakdown,{'downtime': 205}
90,1,finish,"{'car_id': 1, 'to': 2}"
90,1,start,"{'car_id': 2, 'proc_time': 54}"
98,2,finish,"{'car_id': 0, 'to': 3}"
98,2,start,"{'car_id': 1, 'proc_time': 78}"
99,3,start,"{'car_id': 0, 'proc_time': 106}"
103,0,finish,"{'car_id': 4, 'to': 1}"
103,0,start,"{'car_id': 5, 'proc_time': 53}"
117,1,finish,"{'car_id': 2, 'to': 2}"
117,1,start,"{'car_id': 3, 'proc_time': 60}"
122,3,finish,"{'car_id': 0, 'to': 4}"
123,4,start,"{'car_id': 0, 'proc_time': 81}"
124,0,finish,"{'car_id': 5, 'to': 1}"
124,0,start,"{'car_id': 6, 'proc_time': 59}"
133,2,finish,"{'car_id': 1, 'to': 3}"
133,2,start,"{'car_id': 2, 'proc_time': 81}"
134,3,start,"{'car_id': 1, 'proc_time': 107}"
146,0,finish,"{'car_id': 6, 'to': 1}"
146,0,start,"{'car_id': 7, 'proc_time': 62}"
147,1,finish,"{'car_id': 3, 'to': 2}"
147,1,start,"{'car_id': 4, 'proc_time': 77}"
151,4,finish,"{'car_id': 0, 'to': 5}"
152,5,start,"{'car_id': 0, 'proc_time': 63}"
156,2,breakdown,{'downtime': 49}
157,3,finish,"{'car_id': 1, 'to': 4}"
158,4,start,"{'car_id': 1, 'proc_time': 82}"
169,0,finish,"{'car_id': 7, 'to': 1}"
169,0,start,"{'car_id': 8, 'proc_time': 62}"
176,5,finish,"{'car_id': 0, 'to': 6}"
177,6,start,"{'car_id': 0, 'proc_time': 77}"
186,1,finish,"{'car_id': 4, 'to': 2}"
186,1,start,"{'car_id': 5, 'proc_time': 74}"
186,4,finish,"{'car_id': 1, 'to': 5}"
187,5,start,"{'car_id': 1, 'proc_time': 57}"
192,0,finish,"{'car_id': 8, 'to': 1}"
192,0,start,"{'car_id': 9, 'proc_time': 55}"
204,6,finish,"{'car_id': 0, 'to': 7}"
205,2,finish,"{'car_id': 2, 'to': 3}"
205,2,start,"{'car_id': 3, 'proc_time': 75}"
205,7,start,"{'car_id': 0, 'proc_time': 73}"
206,3,start,"{'car_id': 2, 'proc_time': 65}"
210,5,finish,"{'car_id': 1, 'to': 6}"
211,6,start,"{'car_id': 1, 'proc_time': 54}"
213,0,finish,"{'car_id': 9, 'to': 1}"
213,0,start,"{'car_id': 10, 'proc_time': 55}"
223,1,finish,"{'car_id': 5, 'to': 2}"
223,1,start,"{'car_id': 6, 'proc_time': 66}"
224,3,finish,"{'car_id': 2, 'to': 4}"
225,4,start,"{'car_id': 2, 'proc_time': 84}"
232,6,finish,"{'car_id': 1, 'to': 7}"
233,7,finish,"{'car_id': 0, 'to': 8}"
233,7,start,"{'car_id': 1, 'proc_time': 66}"
234,0,finish,"{'car_id': 10, 'to': 1}"
234,0,start,"{'car_id': 11, 'proc_time': 53}"
