t_abs,event,station_id,to,timestamp
0,STATE_CHANGE,1,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,2,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,3,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,4,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,5,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,6,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,7,RUN,2025-09-13T09:59:06.695269
0,STATE_CHANGE,8,RUN,2025-09-13T09:59:06.695269
29,STATE_CHANGE,8,IDLE,2025-09-13T09:59:35.695269
32,STATE_CHANGE,7,IDLE,2025-09-13T09:59:38.695269
37,STATE_CHANGE,1,IDLE,2025-09-13T09:59:43.695269
41,STATE_CHANGE,2,IDLE,2025-09-13T09:59:47.695269
41,STATE_CHANGE,6,IDLE,2025-09-13T09:59:47.695269
42,STATE_CHANGE,3,IDLE,2025-09-13T09:59:48.695269
45,STATE_CHANGE,8,RUN,2025-09-13T09:59:51.695269
46,STATE_CHANGE,5,IDLE,2025-09-13T09:59:52.695269
49,STATE_CHANGE,3,RUN,2025-09-13T09:59:55.695269
51,STATE_CHANGE,4,IDLE,2025-09-13T09:59:57.695269
52,STATE_CHANGE,1,RUN,2025-09-13T09:59:58.695269
53,STATE_CHANGE,7,RUN,2025-09-13T09:59:59.695269
55,STATE_CHANGE,2,RUN,2025-09-13T10:00:01.695269
58,STATE_CHANGE,6,RUN,2025-09-13T10:00:04.695269
63,STATE_CHANGE,5,RUN,2025-09-13T10:00:09.695269
64,STATE_CHANGE,4,RUN,2025-09-13T10:00:10.695269
81,STATE_CHANGE,8,IDLE,2025-09-13T10:00:27.695269
82,STATE_CHANGE,8,RUN,2025-09-13T10:00:28.695269
86,STATE_CHANGE,6,IDLE,2025-09-13T10:00:32.695269
88,STATE_CHANGE,4,IDLE,2025-09-13T10:00:34.695269
95,STATE_CHANGE,1,IDLE,2025-09-13T10:00:41.695269
95,STATE_CHANGE,7,IDLE,2025-09-13T10:00:41.695269
96,STATE_CHANGE,6,RUN,2025-09-13T10:00:42.695269
97,STATE_CHANGE,3,IDLE,2025-09-13T10:00:43.695269
102,STATE_CHANGE,2,IDLE,2025-09-13T10:00:48.695269
103,STATE_CHANGE,7,RUN,2025-09-13T10:00:49.695269
106,STATE_CHANGE,3,RUN,2025-09-13T10:00:52.695269
107,STATE_CHANGE,4,RUN,2025-09-13T10:00:53.695269
108,STATE_CHANGE,5,IDLE,2025-09-13T10:00:54.695269
113,STATE_CHANGE,1,RUN,2025-09-13T10:00:59.695269
115,STATE_CHANGE,8,IDLE,2025-09-13T10:01:01.695269
116,STATE_CHANGE,2,RUN,2025-09-13T10:01:02.695269
126,STATE_CHANGE,5,RUN,2025-09-13T10:01:12.695269
133,STATE_CHANGE,8,RUN,2025-09-13T10:01:19.695269
140,STATE_CHANGE,7,IDLE,2025-09-13T10:01:26.695269
144,STATE_CHANGE,6,IDLE,2025-09-13T10:01:30.695269
147,STATE_CHANGE,3,IDLE,2025-09-13T10:01:33.695269
152,STATE_CHANGE,7,RUN,2025-09-13T10:01:38.695269
155,STATE_CHANGE,4,IDLE,2025-09-13T10:01:41.695269
156,STATE_CHANGE,1,IDLE,2025-09-13T10:01:42.695269
159,STATE_CHANGE,5,IDLE,2025-09-13T10:01:45.695269
160,STATE_CHANGE,2,IDLE,2025-09-13T10:01:46.695269
160,STATE_CHANGE,3,RUN,2025-09-13T10:01:46.695269
161,STATE_CHANGE,6,RUN,2025-09-13T10:01:47.695269
165,STATE_CHANGE,1,RUN,2025-09-13T10:01:51.695269
